id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_permukaan,panjang_ruas_jalan,satuan,tahun
59,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2019
60,32,JAWA BARAT,3272,KOTA SUKABUMI,LAINNYA,0.0,KILOMETER,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,ASPAL,38.45,KILOMETER,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK DI ASPAL,0.0,KILOMETER,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,0.0,KILOMETER,2019
64,32,JAWA BARAT,3274,KOTA CIREBON,ASPAL,6.55,KILOMETER,2019
65,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK DI ASPAL,0.0,KILOMETER,2019
66,32,JAWA BARAT,3274,KOTA CIREBON,LAINNYA,0.0,KILOMETER,2019
67,32,JAWA BARAT,3275,KOTA BEKASI,ASPAL,21.96,KILOMETER,2019
68,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK DI ASPAL,0.0,KILOMETER,2019
69,32,JAWA BARAT,3275,KOTA BEKASI,LAINNYA,0.0,KILOMETER,2019
70,32,JAWA BARAT,3276,KOTA DEPOK,ASPAL,11.73,KILOMETER,2019
71,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK DI ASPAL,0.0,KILOMETER,2019
72,32,JAWA BARAT,3276,KOTA DEPOK,LAINNYA,0.0,KILOMETER,2019
73,32,JAWA BARAT,3277,KOTA CIMAHI,ASPAL,9.36,KILOMETER,2019
74,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK DI ASPAL,0.0,KILOMETER,2019
75,32,JAWA BARAT,3277,KOTA CIMAHI,LAINNYA,0.0,KILOMETER,2019
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ASPAL,29.97,KILOMETER,2019
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK DI ASPAL,0.0,KILOMETER,2019
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAINNYA,0.0,KILOMETER,2019
79,32,JAWA BARAT,3279,KOTA BANJAR,ASPAL,8.97,KILOMETER,2019
80,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK DI ASPAL,0.0,KILOMETER,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,LAINNYA,0.0,KILOMETER,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,ASPAL,82.14,KILOMETER,2020
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK DI ASPAL,0.0,KILOMETER,2020
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,50.68,KILOMETER,2020
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ASPAL,269.87,KILOMETER,2020
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2020
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,44.05,KILOMETER,2020
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ASPAL,148.06,KILOMETER,2020
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK DI ASPAL,0.0,KILOMETER,2020
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,38.34,KILOMETER,2020
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ASPAL,86.6,KILOMETER,2020
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK DI ASPAL,0.0,KILOMETER,2020
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,40.93,KILOMETER,2020
94,32,JAWA BARAT,3205,KABUPATEN GARUT,ASPAL,245.33,KILOMETER,2020
95,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK DI ASPAL,0.0,KILOMETER,2020
96,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,40.7,KILOMETER,2020
97,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ASPAL,118.19,KILOMETER,2020
98,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK DI ASPAL,0.0,KILOMETER,2020
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,5.45,KILOMETER,2020
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ASPAL,26.63,KILOMETER,2020
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK DI ASPAL,0.0,KILOMETER,2020
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,2.0,KILOMETER,2020
103,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ASPAL,76.18,KILOMETER,2020
104,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK DI ASPAL,0.0,KILOMETER,2020
105,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,10.15,KILOMETER,2020
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,ASPAL,62.49,KILOMETER,2020
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK DI ASPAL,0.0,KILOMETER,2020
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,9.88,KILOMETER,2020
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ASPAL,118.83,KILOMETER,2020
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK DI ASPAL,0.0,KILOMETER,2020
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,7.0,KILOMETER,2020
112,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ASPAL,101.1,KILOMETER,2020
113,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK DI ASPAL,0.0,KILOMETER,2020
114,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAINNYA,14.7,KILOMETER,2020
115,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ASPAL,131.89,KILOMETER,2020
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK DI ASPAL,0.0,KILOMETER,2020
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,25.6,KILOMETER,2020
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,ASPAL,162.39,KILOMETER,2020
